DateTime,AP,AP GF,CB DWT,CB GF,CB NPI,CB OPF,CB TLO,CC DWT,CC GF,CC HYD,CC NPI,CC OPF1,CC OPF2,CC SY,EW DWT,EW FF ART,EW FF CMP,EW FF NPI,EW GF,EW NPI,EW OPF,EW SY,FF DWT,FF NPI,FT OPF,IB CHF,IB DWT,IB GF,IB NPI,IB OPF,KA BEL,KV OPF,MS DWT,MS GF,MS NPI,MS OPF,NY GF,RO,SM DWT,SM GF,SM NPI,SM TLO,SM FT OPF,SM KV OPF
25/04/2024 14:30,37.03,0,0,1.08,1.875001487,22.07,0,0,0,0.8,3.001447364,12.79,17.67,2.59,0,0,0,0,0,1.356191743,2.46,0.94,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.153437526,2.7,0,0
25/04/2024 15:00,33.11,0,0,1.08,1.925393289,22.07,3.51,0,0,0.8,3.076928213,12.79,17.67,3.43,0,0,0,0,0,1.36009854,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.183681823,2.7,0,0
25/04/2024 15:30,33.11,0,0,1.08,1.981057907,22.07,3.51,0,0,0.8,3.179423825,12.79,17.67,3.43,0,0,0,0,0,1.365509377,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.236712739,2.7,0,0
25/04/2024 16:00,30.76,0,0,1.08,1.973235651,22.07,4.31,0,0,0.8,3.186877583,12.79,17.67,3.43,0,0,0,0,0,1.376513682,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.237097171,2.7,0,0
25/04/2024 16:30,30.76,0,0,1.08,1.866035644,22.07,4.31,0,0,0.8,3.022574993,12.79,17.67,3.43,0,0,0,0,0,1.330408665,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.172729896,2.7,0,0
25/04/2024 17:00,36.68,0,0,1.08,1.811412069,22.07,0.83,0,0,0.8,2.891380136,12.79,17.67,2.59,0,0,0,0,0,1.197504354,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.124139586,2.7,0,0
25/04/2024 17:30,36.68,0,0,1.08,1.872426242,22.07,0.83,0,0,0.8,2.940171906,12.79,17.67,2.59,0,0,0,0,0,1.139606148,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.170551648,2.7,0,0
25/04/2024 18:00,41.68,0,0,1.08,2.012298623,22.07,0,0,0,0.8,3.213249665,12.79,17.67,3.67,0,0,0,0,0,1.250425065,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.295091265,2.58,0,0
25/04/2024 18:30,41.68,0,0,1.08,2.048265007,22.07,0,0,0,0.8,3.425106708,12.79,17.67,3.67,0,0,0,0,0,1.335541702,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.381219689,2.58,0,0
25/04/2024 19:00,43.06,0,0,1.08,2.010689121,22.07,0,0,0,0.8,3.38105703,12.79,17.67,3.6,0,0,0,0,0,1.379305843,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.416883376,3.58,0,0
25/04/2024 19:30,43.06,0,0,1.08,1.901476243,22.07,0,0,0,0.8,3.146543407,12.79,17.67,3.6,0,0,0,0,0,1.390583505,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.321799791,3.58,0,0
25/04/2024 20:00,37.5,0,0,1.08,1.745915677,22.07,0,0,0,0.8,2.82438296,12.79,17.67,2.47,0,0,0,0,0,1.384284131,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,2.129509785,3.92,0,0
25/04/2024 20:30,37.5,0,0,1.08,1.58179984,22.07,0,0,0,0.8,2.499945964,12.79,17.67,2.47,0,0,0,0,0,1.36532385,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.924578597,3.92,0,0
25/04/2024 21:00,36.69,0,0,1.08,1.468383172,22.07,0,0,0,0.8,2.258081697,12.79,17.67,3.7,0,0,0,0,0,1.35552629,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.751889474,3.92,0,0
25/04/2024 21:30,36.69,0,0,1.08,1.386909289,22.07,0,0,0,0.8,2.126772126,12.79,17.67,3.7,0,0,0,0,0,1.342612131,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.652290991,3.92,0,0
25/04/2024 22:00,40.99,0,0,1.08,1.358657399,22.07,0,0,0,0.8,2.083087832,12.79,17.67,3.43,0,0,0,0,0,1.346479163,2.46,0,0,0,8.6,5.04,0,0,2.5,64.18,0,22.21,0,0,0,0,0,0,0,2.11,1.56668959,2.19,0,0
