MONTH,DAY,PERIOD,1
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
1,1,17,0.779141156
1,1,18,0.779141156
1,1,19,0.83332483
1,1,20,0.83332483
1,1,21,0.850731293
1,1,22,0.850731293
1,1,23,0.860841837
1,1,24,0.860841837
1,1,25,0.85630102
1,1,26,0.85630102
1,1,27,0.847210884
1,1,28,0.847210884
1,1,29,0.825204082
1,1,30,0.825204082
1,1,31,0.78672619
1,1,32,0.78672619
1,1,33,0.635510204
1,1,34,0.635510204
1,1,35,0.437712585
1,1,36,0.437712585
1,1,37,0.050021259
1,1,38,0.050021259
1,1,39,0
1,1,40,0
1,1,41,0
1,1,42,0
1,1,43,0
1,1,44,0
1,1,45,0
1,1,46,0
1,1,47,0
1,1,48,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0.004221344
1,2,12,0.004221344
1,2,13,0.366658163
1,2,14,0.366658163
1,2,15,0.709379252
1,2,16,0.709379252
1,2,17,0.812729592
1,2,18,0.812729592
1,2,19,0.841284014
1,2,20,0.841284014
1,2,21,0.861488095
1,2,22,0.861488095
1,2,23,0.872772109
1,2,24,0.872772109
1,2,25,0.875654762
1,2,26,0.875654762
1,2,27,0.871828231
1,2,28,0.871828231
1,2,29,0.844022109
1,2,30,0.844022109
1,2,31,0.805586735
1,2,32,0.805586735
1,2,33,0.168630952
1,2,34,0.168630952
1,2,35,0.002278316
1,2,36,0.002278316
1,2,37,0
1,2,38,0
1,2,39,0
1,2,40,0
1,2,41,0
1,2,42,0
1,2,43,0
1,2,44,0
1,2,45,0
1,2,46,0
1,2,47,0
1,2,48,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0.004508673
1,3,12,0.004508673
1,3,13,0.387210884
1,3,14,0.387210884
1,3,15,0.725289116
1,3,16,0.725289116
1,3,17,0.813307823
1,3,18,0.813307823
1,3,19,0.840178571
1,3,20,0.840178571
1,3,21,0.853852041
1,3,22,0.853852041
1,3,23,0.864294218
1,3,24,0.864294218
1,3,25,0.862261905
1,3,26,0.862261905
1,3,27,0.84292517
1,3,28,0.84292517
1,3,29,0.83712585
1,3,30,0.83712585
1,3,31,0.795433673
1,3,32,0.795433673
1,3,33,0.739081633
1,3,34,0.739081633
1,3,35,0.371394558
1,3,36,0.371394558
1,3,37,0.068397109
1,3,38,0.068397109
1,3,39,0
1,3,40,0
1,3,41,0
1,3,42,0
1,3,43,0
1,3,44,0
1,3,45,0
1,3,46,0
1,3,47,0
1,3,48,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0.004388861
1,4,12,0.004388861
1,4,13,0.378341837
1,4,14,0.378341837
1,4,15,0.711794218
1,4,16,0.711794218
1,4,17,0.82457483
1,4,18,0.82457483
1,4,19,0.854217687
1,4,20,0.854217687
1,4,21,0.87087585
1,4,22,0.87087585
1,4,23,0.876071429
1,4,24,0.876071429
1,4,25,0.872219388
1,4,26,0.872219388
1,4,27,0.86454932
1,4,28,0.86454932
1,4,29,0.849285714
1,4,30,0.849285714
1,4,31,0.816113946
1,4,32,0.816113946
1,4,33,0.754668367
1,4,34,0.754668367
1,4,35,0.553222789
1,4,36,0.553222789
1,4,37,0.068912415
1,4,38,0.068912415
1,4,39,0
1,4,40,0
1,4,41,0
1,4,42,0
1,4,43,0
1,4,44,0
1,4,45,0
1,4,46,0
1,4,47,0
1,4,48,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,5,11,0.002628656
1,5,12,0.002628656
1,5,13,0.346164966
1,5,14,0.346164966
1,5,15,0.48087585
1,5,16,0.48087585
1,5,17,0.306267007
1,5,18,0.306267007
1,5,19,0.505501701
1,5,20,0.505501701
1,5,21,0.689736395
1,5,22,0.689736395
1,5,23,0.56457483
1,5,24,0.56457483
1,5,25,0.819889456
1,5,26,0.819889456
1,5,27,0.705867347
1,5,28,0.705867347
1,5,29,0.800756803
1,5,30,0.800756803
1,5,31,0.526122449
1,5,32,0.526122449
1,5,33,0.063994048
1,5,34,0.063994048
1,5,35,0.089430272
1,5,36,0.089430272
1,5,37,0.008077976
1,5,38,0.008077976
1,5,39,0
1,5,40,0
1,5,41,0
1,5,42,0
1,5,43,0
1,5,44,0
1,5,45,0
1,5,46,0
1,5,47,0
1,5,48,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,6,11,0.000964711
1,6,12,0.000964711
1,6,13,0.281139456
1,6,14,0.281139456
1,6,15,0.504659864
1,6,16,0.504659864
1,6,17,0.733426871
1,6,18,0.733426871
1,6,19,0.752372449
1,6,20,0.752372449
1,6,21,0.465059524
1,6,22,0.465059524
1,6,23,0.442789116
1,6,24,0.442789116
1,6,25,0.470034014
1,6,26,0.470034014
1,6,27,0.464889456
1,6,28,0.464889456
1,6,29,0.377636054
1,6,30,0.377636054
1,6,31,0.431215986
1,6,32,0.431215986
1,6,33,0.078012755
1,6,34,0.078012755
1,6,35,0.172168367
1,6,36,0.172168367
1,6,37,0.070790816
1,6,38,0.070790816
1,6,39,0
1,6,40,0
1,6,41,0
1,6,42,0
1,6,43,0
1,6,44,0
1,6,45,0
1,6,46,0
1,6,47,0
1,6,48,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,0.185935374
1,7,14,0.185935374
1,7,15,0.404566327
1,7,16,0.404566327
1,7,17,0.818290816
1,7,18,0.818290816
1,7,19,0.848401361
1,7,20,0.848401361
1,7,21,0.861284014
1,7,22,0.861284014
1,7,23,0.813911565
1,7,24,0.813911565
1,7,25,0.801947279
1,7,26,0.801947279
1,7,27,0.819583333
1,7,28,0.819583333
1,7,29,0.803928571
1,7,30,0.803928571
1,7,31,0.795748299
1,7,32,0.795748299
1,7,33,0.610756803
1,7,34,0.610756803
1,7,35,0.029928571
1,7,36,0.029928571
1,7,37,0.025889456
1,7,38,0.025889456
1,7,39,0
1,7,40,0
1,7,41,0
1,7,42,0
1,7,43,0
1,7,44,0
1,7,45,0
1,7,46,0
1,7,47,0
1,7,48,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0
1,8,11,0
1,8,12,0
1,8,13,0.319855442
1,8,14,0.319855442
1,8,15,0.674982993
1,8,16,0.674982993
1,8,17,0.717602041
1,8,18,0.717602041
1,8,19,0.839923469
1,8,20,0.839923469
1,8,21,0.855816327
1,8,22,0.855816327
1,8,23,0.86244898
1,8,24,0.86244898
1,8,25,0.85125
1,8,26,0.85125
1,8,27,0.843163265
1,8,28,0.843163265
1,8,29,0.809413265
1,8,30,0.809413265
1,8,31,0.794668367
1,8,32,0.794668367
1,8,33,0.720076531
1,8,34,0.720076531
1,8,35,0.472168367
1,8,36,0.472168367
1,8,37,0.046805272
1,8,38,0.046805272
1,8,39,0
1,8,40,0
1,8,41,0
1,8,42,0
1,8,43,0
1,8,44,0
1,8,45,0
1,8,46,0
1,8,47,0
1,8,48,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0
1,9,11,0
1,9,12,0
1,9,13,0.311760204
1,9,14,0.311760204
1,9,15,0.677695578
1,9,16,0.677695578
1,9,17,0.699379252
1,9,18,0.699379252
1,9,19,0.740697279
1,9,20,0.740697279
1,9,21,0.843596939
1,9,22,0.843596939
1,9,23,0.851870748
1,9,24,0.851870748
1,9,25,0.846147959
1,9,26,0.846147959
1,9,27,0.829583333
1,9,28,0.829583333
1,9,29,0.822568027
1,9,30,0.822568027
1,9,31,0.756717687
1,9,32,0.756717687
1,9,33,0.68172619
1,9,34,0.68172619
1,9,35,0.048542517
1,9,36,0.048542517
1,9,37,0.052436224
1,9,38,0.052436224
1,9,39,0
1,9,40,0
1,9,41,0
1,9,42,0
1,9,43,0
1,9,44,0
1,9,45,0
1,9,46,0
1,9,47,0
1,9,48,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,10,11,0
1,10,12,0
1,10,13,0.181794218
1,10,14,0.181794218
1,10,15,0.583078231
1,10,16,0.583078231
1,10,17,0.789285714
1,10,18,0.789285714
1,10,19,0.823171769
1,10,20,0.823171769
1,10,21,0.843129252
1,10,22,0.843129252
1,10,23,0.854719388
1,10,24,0.854719388
1,10,25,0.853945578
1,10,26,0.853945578
1,10,27,0.850697279
1,10,28,0.850697279
1,10,29,0.834107143
1,10,30,0.834107143
1,10,31,0.80297619
1,10,32,0.80297619
1,10,33,0.735926871
1,10,34,0.735926871
1,10,35,0.529685374
1,10,36,0.529685374
1,10,37,0.058965136
1,10,38,0.058965136
1,10,39,0
1,10,40,0
1,10,41,0
1,10,42,0
1,10,43,0
1,10,44,0
1,10,45,0
1,10,46,0
1,10,47,0
1,10,48,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,11,11,0
1,11,12,0
1,11,13,0.195663265
1,11,14,0.195663265
1,11,15,0.150348639
1,11,16,0.150348639
1,11,17,0.115969388
1,11,18,0.115969388
1,11,19,0.138222789
1,11,20,0.138222789
1,11,21,0.289489796
1,11,22,0.289489796
1,11,23,0.411581633
1,11,24,0.411581633
1,11,25,0.473920068
1,11,26,0.473920068
1,11,27,0.656811224
1,11,28,0.656811224
1,11,29,0.820782313
1,11,30,0.820782313
1,11,31,0.778061224
1,11,32,0.778061224
1,11,33,0.453222789
1,11,34,0.453222789
1,11,35,0.249753401
1,11,36,0.249753401
1,11,37,0.045456633
1,11,38,0.045456633
1,11,39,0
1,11,40,0
1,11,41,0
1,11,42,0
1,11,43,0
1,11,44,0
1,11,45,0
1,11,46,0
1,11,47,0
1,11,48,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0
1,12,11,0
1,12,12,0
1,12,13,0.01235034
1,12,14,0.01235034
1,12,15,0.107227891
1,12,16,0.107227891
1,12,17,0.298826531
1,12,18,0.298826531
1,12,19,0.456658163
1,12,20,0.456658163
1,12,21,0.746581633
1,12,22,0.746581633
1,12,23,0.623409864
1,12,24,0.623409864
1,12,25,0.462763605
1,12,26,0.462763605
1,12,27,0.486564626
1,12,28,0.486564626
1,12,29,0.646445578
1,12,30,0.646445578
1,12,31,0.480289116
1,12,32,0.480289116
1,12,33,0.632729592
1,12,34,0.632729592
1,12,35,0.453835034
1,12,36,0.453835034
1,12,37,0.053179422
1,12,38,0.053179422
1,12,39,0
1,12,40,0
1,12,41,0
1,12,42,0
1,12,43,0
1,12,44,0
1,12,45,0
1,12,46,0
1,12,47,0
1,12,48,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,13,11,0
1,13,12,0
1,13,13,0.061593537
1,13,14,0.061593537
1,13,15,0.101981293
1,13,16,0.101981293
1,13,17,0.094923469
1,13,18,0.094923469
1,13,19,0.057392007
1,13,20,0.057392007
1,13,21,0.093758503
1,13,22,0.093758503
1,13,23,0.261760204
1,13,24,0.261760204
1,13,25,0.314957483
1,13,26,0.314957483
1,13,27,0.22377551
1,13,28,0.22377551
1,13,29,0.201309524
1,13,30,0.201309524
1,13,31,0.250170068
1,13,32,0.250170068
1,13,33,0.307755102
1,13,34,0.307755102
1,13,35,0.219906463
1,13,36,0.219906463
1,13,37,0.050564626
1,13,38,0.050564626
1,13,39,0
1,13,40,0
1,13,41,0
1,13,42,0
1,13,43,0
1,13,44,0
1,13,45,0
1,13,46,0
1,13,47,0
1,13,48,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,14,11,0
1,14,12,0
1,14,13,0.018436224
1,14,14,0.018436224
1,14,15,0.032518707
1,14,16,0.032518707
1,14,17,0.069978741
1,14,18,0.069978741
1,14,19,0.329685374
1,14,20,0.329685374
1,14,21,0.469676871
1,14,22,0.469676871
1,14,23,0.428988095
1,14,24,0.428988095
1,14,25,0.424447279
1,14,26,0.424447279
1,14,27,0.48744898
1,14,28,0.48744898
1,14,29,0.616156463
1,14,30,0.616156463
1,14,31,0.232015306
1,14,32,0.232015306
1,14,33,0.059810374
1,14,34,0.059810374
1,14,35,0.268154762
1,14,36,0.268154762
1,14,37,0.064238946
1,14,38,0.064238946
1,14,39,0
1,14,40,0
1,14,41,0
1,14,42,0
1,14,43,0
1,14,44,0
1,14,45,0
1,14,46,0
1,14,47,0
1,14,48,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,15,11,0
1,15,12,0
1,15,13,0.173954082
1,15,14,0.173954082
1,15,15,0.585603741
1,15,16,0.585603741
1,15,17,0.326122449
1,15,18,0.326122449
1,15,19,0.622661565
1,15,20,0.622661565
1,15,21,0.602908163
1,15,22,0.602908163
1,15,23,0.75547619
1,15,24,0.75547619
1,15,25,0.830688776
1,15,26,0.830688776
1,15,27,0.763792517
1,15,28,0.763792517
1,15,29,0.823511905
1,15,30,0.823511905
1,15,31,0.797865646
1,15,32,0.797865646
1,15,33,0.724192177
1,15,34,0.724192177
1,15,35,0.516309524
1,15,36,0.516309524
1,15,37,0.066302721
1,15,38,0.066302721
1,15,39,0
1,15,40,0
1,15,41,0
1,15,42,0
1,15,43,0
1,15,44,0
1,15,45,0
1,15,46,0
