MONTH,DAY,PERIOD,1,2,3,4,5,6,7,8,9,10
1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,11,0.012317177,0.011223639,0.013187075,0.012777211,0.008826531,0.01152381,0.002777381,0.010329082,0.011610544,0.005508673
1,2,12,0.012317177,0.011223639,0.013187075,0.012777211,0.008826531,0.01152381,0.002777381,0.010329082,0.011610544,0.005508673
1,2,13,0.388494898,0.392193878,0.407942177,0.414464286,0.324804422,0.392380952,0.235960884,0.376556122,0.385467687,0.384209184
1,2,14,0.388494898,0.392193878,0.407942177,0.414464286,0.324804422,0.392380952,0.235960884,0.376556122,0.385467687,0.384209184
1,2,15,0.604243197,0.727933673,0.748656463,0.740017007,0.593112245,0.735756803,0.284455782,0.712636054,0.730493197,0.722891156
1,2,16,0.604243197,0.727933673,0.748656463,0.740017007,0.593112245,0.735756803,0.284455782,0.712636054,0.730493197,0.722891156
1,2,17,0.576836735,0.822244898,0.854906463,0.801853741,0.64079932,0.832083333,0.429472789,0.821028912,0.811190476,0.832355442
1,2,18,0.576836735,0.822244898,0.854906463,0.801853741,0.64079932,0.832083333,0.429472789,0.821028912,0.811190476,0.832355442
1,2,19,0.63002551,0.855331633,0.891590136,0.84255102,0.76829932,0.872729592,0.787057823,0.861845238,0.850952381,0.854770408
1,2,20,0.63002551,0.855331633,0.891590136,0.84255102,0.76829932,0.872729592,0.787057823,0.861845238,0.850952381,0.854770408
1,2,21,0.625552721,0.863758503,0.900365646,0.867491497,0.351181973,0.890680272,0.853647959,0.879540816,0.860289116,0.870841837
1,2,22,0.625552721,0.863758503,0.900365646,0.867491497,0.351181973,0.890680272,0.853647959,0.879540816,0.860289116,0.870841837
1,2,23,0.553852041,0.869906463,0.903086735,0.875,0.457066327,0.89420068,0.77372449,0.884336735,0.867015306,0.878426871
1,2,24,0.553852041,0.869906463,0.903086735,0.875,0.457066327,0.89420068,0.77372449,0.884336735,0.867015306,0.878426871
1,2,25,0.619702381,0.869906463,0.903792517,0.873664966,0.640153061,0.891802721,0.466539116,0.87835034,0.864013605,0.872593537
1,2,26,0.619702381,0.869906463,0.903792517,0.873664966,0.640153061,0.891802721,0.466539116,0.87835034,0.864013605,0.872593537
1,2,27,0.571777211,0.859608844,0.89375,0.866692177,0.748452381,0.886139456,0.177397959,0.868078231,0.85505102,0.866011905
1,2,28,0.571777211,0.859608844,0.89375,0.866692177,0.748452381,0.886139456,0.177397959,0.868078231,0.85505102,0.866011905
1,2,29,0.51792517,0.842389456,0.873630952,0.844438776,0.732227891,0.869311224,0.496539116,0.847304422,0.61952381,0.850969388
1,2,30,0.51792517,0.842389456,0.873630952,0.844438776,0.732227891,0.869311224,0.496539116,0.847304422,0.61952381,0.850969388
1,2,31,0.451955782,0.81380102,0.840833333,0.81292517,0.670323129,0.836794218,0.045385204,0.813996599,0.397355442,0.818979592
1,2,32,0.451955782,0.81380102,0.840833333,0.81292517,0.670323129,0.836794218,0.045385204,0.813996599,0.397355442,0.818979592
1,2,33,0.279659864,0.753078231,0.766692177,0.726241497,0.604039116,0.763095238,0.007533248,0.740365646,0.291105442,0.757942177
1,2,34,0.279659864,0.753078231,0.766692177,0.726241497,0.604039116,0.763095238,0.007533248,0.740365646,0.291105442,0.757942177
1,2,35,0.104132653,0.550229592,0.563027211,0.504668367,0.40579932,0.550331633,0.009701531,0.545909864,0.34045068,0.551853741
1,2,36,0.104132653,0.550229592,0.563027211,0.504668367,0.40579932,0.550331633,0.009701531,0.545909864,0.34045068,0.551853741
1,2,37,0.007921173,0.063314626,0.068278061,0.05749915,0.041652211,0.06362585,0.0,0.064465986,0.059614796,0.064116497
1,2,38,0.007921173,0.063314626,0.068278061,0.05749915,0.041652211,0.06362585,0.0,0.064465986,0.059614796,0.064116497
1,2,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
