DateTime,bus,p_set
2024-04-25 14:00:00,SM TLO,2.7
2024-04-25 14:30:00,IB GF,0.0
2024-04-25 14:30:00,IB NPI,2.5
2024-04-25 14:30:00,IB OPF,64.18
2024-04-25 14:30:00,SM FT OPF,0.0
2024-04-25 14:30:00,SM GF,2.11
2024-04-25 14:30:00,SM KV OPF,0.0
2024-04-25 14:30:00,SM NPI,2.153437526
2024-04-25 14:30:00,SM TLO,2.7
2024-04-25 15:00:00,IB GF,0.0
2024-04-25 15:00:00,IB NPI,2.5
2024-04-25 15:00:00,IB OPF,64.18
2024-04-25 15:00:00,SM FT OPF,0.0
2024-04-25 15:00:00,SM GF,2.11
2024-04-25 15:00:00,SM KV OPF,0.0
2024-04-25 15:00:00,SM NPI,2.183681823
2024-04-25 15:00:00,SM TLO,2.7
2024-04-25 15:30:00,IB GF,0.0
2024-04-25 15:30:00,IB NPI,2.5
2024-04-25 15:30:00,IB OPF,64.18
2024-04-25 15:30:00,SM FT OPF,0.0
2024-04-25 15:30:00,SM GF,2.11
2024-04-25 15:30:00,SM KV OPF,0.0
2024-04-25 15:30:00,SM NPI,2.236712739
2024-04-25 15:30:00,SM TLO,2.7
2024-04-25 16:00:00,IB GF,0.0
2024-04-25 16:00:00,IB NPI,2.5
2024-04-25 16:00:00,IB OPF,64.18
2024-04-25 16:00:00,SM FT OPF,0.0
2024-04-25 16:00:00,SM GF,2.11
2024-04-25 16:00:00,SM KV OPF,0.0
2024-04-25 16:00:00,SM NPI,2.237097171
2024-04-25 16:00:00,SM TLO,2.7
2024-04-25 16:30:00,IB GF,0.0
2024-04-25 16:30:00,IB NPI,2.5
2024-04-25 16:30:00,IB OPF,64.18
2024-04-25 16:30:00,SM FT OPF,0.0
2024-04-25 16:30:00,SM GF,2.11
2024-04-25 16:30:00,SM KV OPF,0.0
2024-04-25 16:30:00,SM NPI,2.172729896
2024-04-25 16:30:00,SM TLO,2.7
2024-04-25 17:00:00,IB GF,0.0
2024-04-25 17:00:00,IB NPI,2.5
2024-04-25 17:00:00,IB OPF,64.18
2024-04-25 17:00:00,SM FT OPF,0.0
2024-04-25 17:00:00,SM GF,2.11
2024-04-25 17:00:00,SM KV OPF,0.0
2024-04-25 17:00:00,SM NPI,2.124139586
2024-04-25 17:00:00,SM TLO,2.7
2024-04-25 17:30:00,IB GF,0.0
2024-04-25 17:30:00,IB NPI,2.5
2024-04-25 17:30:00,IB OPF,64.18
2024-04-25 17:30:00,SM FT OPF,0.0
2024-04-25 17:30:00,SM GF,2.11
2024-04-25 17:30:00,SM KV OPF,0.0
2024-04-25 17:30:00,SM NPI,2.170551648
2024-04-25 17:30:00,SM TLO,2.7
2024-04-25 18:00:00,IB GF,0.0
2024-04-25 18:00:00,IB NPI,2.5
2024-04-25 18:00:00,IB OPF,64.18
2024-04-25 18:00:00,SM FT OPF,0.0
2024-04-25 18:00:00,SM GF,2.11
2024-04-25 18:00:00,SM KV OPF,0.0
2024-04-25 18:00:00,SM NPI,2.295091265
2024-04-25 18:00:00,SM TLO,2.58
2024-04-25 18:30:00,IB GF,0.0
2024-04-25 18:30:00,IB NPI,2.5
2024-04-25 18:30:00,IB OPF,64.18
2024-04-25 18:30:00,SM FT OPF,0.0
2024-04-25 18:30:00,SM GF,2.11
2024-04-25 18:30:00,SM KV OPF,0.0
2024-04-25 18:30:00,SM NPI,2.381219689
2024-04-25 18:30:00,SM TLO,2.58
2024-04-25 19:00:00,IB GF,0.0
2024-04-25 19:00:00,IB NPI,2.5
2024-04-25 19:00:00,IB OPF,64.18
2024-04-25 19:00:00,SM FT OPF,0.0
2024-04-25 19:00:00,SM GF,2.11
2024-04-25 19:00:00,SM KV OPF,0.0
2024-04-25 19:00:00,SM NPI,2.416883376
2024-04-25 19:00:00,SM TLO,3.58
2024-04-25 19:30:00,IB GF,0.0
2024-04-25 19:30:00,IB NPI,2.5
2024-04-25 19:30:00,IB OPF,64.18
2024-04-25 19:30:00,SM FT OPF,0.0
2024-04-25 19:30:00,SM GF,2.11
2024-04-25 19:30:00,SM KV OPF,0.0
2024-04-25 19:30:00,SM NPI,2.321799791
2024-04-25 19:30:00,SM TLO,3.58
2024-04-25 20:00:00,IB GF,0.0
2024-04-25 20:00:00,IB NPI,2.5
2024-04-25 20:00:00,IB OPF,64.18
2024-04-25 20:00:00,SM FT OPF,0.0
2024-04-25 20:00:00,SM GF,2.11
2024-04-25 20:00:00,SM KV OPF,0.0
2024-04-25 20:00:00,SM NPI,2.129509785
2024-04-25 20:00:00,SM TLO,3.92
2024-04-25 20:30:00,IB GF,0.0
2024-04-25 20:30:00,IB NPI,2.5
2024-04-25 20:30:00,IB OPF,64.18
2024-04-25 20:30:00,SM FT OPF,0.0
2024-04-25 20:30:00,SM GF,2.11
2024-04-25 20:30:00,SM KV OPF,0.0
2024-04-25 20:30:00,SM NPI,1.924578597
2024-04-25 20:30:00,SM TLO,3.92
2024-04-25 21:00:00,IB GF,0.0
2024-04-25 21:00:00,IB NPI,2.5
2024-04-25 21:00:00,IB OPF,64.18
2024-04-25 21:00:00,SM FT OPF,0.0
2024-04-25 21:00:00,SM GF,2.11
2024-04-25 21:00:00,SM KV OPF,0.0
2024-04-25 21:00:00,SM NPI,1.751889474
2024-04-25 21:00:00,SM TLO,3.92
2024-04-25 21:30:00,IB GF,0.0
2024-04-25 21:30:00,IB NPI,2.5
2024-04-25 21:30:00,IB OPF,64.18
2024-04-25 21:30:00,SM FT OPF,0.0
2024-04-25 21:30:00,SM GF,2.11
2024-04-25 21:30:00,SM KV OPF,0.0
2024-04-25 21:30:00,SM NPI,1.652290991
2024-04-25 21:30:00,SM TLO,3.92
2024-04-25 22:00:00,IB GF,0.0
2024-04-25 22:00:00,IB NPI,2.5
2024-04-25 22:00:00,IB OPF,64.18
2024-04-25 22:00:00,SM FT OPF,0.0
2024-04-25 22:00:00,SM GF,2.11
2024-04-25 22:00:00,SM KV OPF,0.0
2024-04-25 22:00:00,SM NPI,1.56668959
2024-04-25 22:00:00,SM TLO,2.19
2024-04-25 22:30:00,IB GF,0.0
2024-04-25 22:30:00,IB NPI,2.5
2024-04-25 22:30:00,IB OPF,64.18
2024-04-25 22:30:00,SM FT OPF,0.0
2024-04-25 22:30:00,SM GF,2.11
2024-04-25 22:30:00,SM KV OPF,0.0
2024-04-25 22:30:00,SM NPI,1.490124064
2024-04-25 22:30:00,SM TLO,2.19
2024-04-25 23:00:00,IB GF,0.0
2024-04-25 23:00:00,IB NPI,2.5
2024-04-25 23:00:00,IB OPF,64.18
2024-04-25 23:00:00,SM FT OPF,0.0
2024-04-25 23:00:00,SM GF,2.11
2024-04-25 23:00:00,SM KV OPF,0.0
2024-04-25 23:00:00,SM NPI,1.429553122
2024-04-25 23:00:00,SM TLO,3.72
2024-04-25 23:30:00,IB GF,0.0
2024-04-25 23:30:00,IB NPI,2.5
2024-04-25 23:30:00,IB OPF,64.18
2024-04-25 23:30:00,SM FT OPF,0.0
2024-04-25 23:30:00,SM GF,2.11
2024-04-25 23:30:00,SM KV OPF,0.0
2024-04-25 23:30:00,SM NPI,1.386478625
2024-04-25 23:30:00,SM TLO,3.72
2024-04-26 00:00:00,IB GF,0.0
2024-04-26 00:00:00,IB NPI,2.5
2024-04-26 00:00:00,IB OPF,64.18
2024-04-26 00:00:00,SM FT OPF,0.0
2024-04-26 00:00:00,SM GF,2.11
2024-04-26 00:00:00,SM KV OPF,0.0
2024-04-26 00:00:00,SM NPI,1.341910873
2024-04-26 00:00:00,SM TLO,3.82
2024-04-26 00:30:00,IB GF,0.0
2024-04-26 00:30:00,IB NPI,2.5
2024-04-26 00:30:00,IB OPF,64.18
2024-04-26 00:30:00,SM FT OPF,0.0
2024-04-26 00:30:00,SM GF,2.11
2024-04-26 00:30:00,SM KV OPF,0.0
2024-04-26 00:30:00,SM NPI,1.312101481
2024-04-26 00:30:00,SM TLO,3.82
2024-04-26 01:00:00,IB GF,0.0
2024-04-26 01:00:00,IB NPI,2.5
2024-04-26 01:00:00,IB OPF,64.18
2024-04-26 01:00:00,SM FT OPF,0.0
2024-04-26 01:00:00,SM GF,2.11
2024-04-26 01:00:00,SM KV OPF,0.0
2024-04-26 01:00:00,SM NPI,1.294975884
2024-04-26 01:00:00,SM TLO,3.82
2024-04-26 01:30:00,IB GF,0.0
2024-04-26 01:30:00,IB NPI,2.5
2024-04-26 01:30:00,IB OPF,64.18
2024-04-26 01:30:00,SM FT OPF,0.0
2024-04-26 01:30:00,SM GF,2.11
2024-04-26 01:30:00,SM KV OPF,0.0
2024-04-26 01:30:00,SM NPI,1.278273566
2024-04-26 01:30:00,SM TLO,3.82
2024-04-26 02:00:00,IB GF,0.0
2024-04-26 02:00:00,IB NPI,2.5
2024-04-26 02:00:00,IB OPF,64.18
2024-04-26 02:00:00,SM FT OPF,0.0
2024-04-26 02:00:00,SM GF,2.11
2024-04-26 02:00:00,SM KV OPF,0.0
2024-04-26 02:00:00,SM NPI,1.271174187
2024-04-26 02:00:00,SM TLO,3.74
2024-04-26 02:30:00,IB GF,0.0
2024-04-26 02:30:00,IB NPI,2.5
2024-04-26 02:30:00,IB OPF,64.18
2024-04-26 02:30:00,SM FT OPF,0.0
2024-04-26 02:30:00,SM GF,2.11
2024-04-26 02:30:00,SM KV OPF,0.0
2024-04-26 02:30:00,SM NPI,1.273272693
2024-04-26 02:30:00,SM TLO,3.74
2024-04-26 03:00:00,IB GF,0.0
2024-04-26 03:00:00,IB NPI,2.5
2024-04-26 03:00:00,IB OPF,64.18
2024-04-26 03:00:00,SM FT OPF,0.0
2024-04-26 03:00:00,SM GF,2.11
2024-04-26 03:00:00,SM KV OPF,0.0
2024-04-26 03:00:00,SM NPI,1.285008049
2024-04-26 03:00:00,SM TLO,3.91
2024-04-26 03:30:00,IB GF,0.0
2024-04-26 03:30:00,IB NPI,2.5
2024-04-26 03:30:00,IB OPF,64.18
2024-04-26 03:30:00,SM FT OPF,0.0
